FAMSIZE,ELDCH,SEX,AGE,MARST,BIRTHYR,MARRNO,MARRINYR,YRMARR,DIVINYR,WIDINYR,RACE,HISPAN,SPEAKENG,RACNUM,HCOVANY,HCOVPRIV,HINSEMP,HINSPUR,HCOVPUB,HINSCAID,HINSCARE,HINSVA,HINSIHS,EDUC,EMPSTAT,LABFORCE,CLASSWKR,WKSWORK2,UHRSWORK,WRKLSTWK,ABSENT,LOOKING,AVAILBLE,WORKEDYR,INCTOT,FTOTINC,INCWAGE,INCBUS00,INCWELFR,VETDISAB,DIFFHEAR,VETSTAT,VETSTATD,VET01LTR,VET90X01,VET75X90,VETVIETN,VET55X64,VETKOREA,VET47X50,VETWWII,VETOTHER,TRANWORK,CARPOOL,RIDERS,TRANTIME,DEPARTS,ARRIVES,GCHOUSE,GCMONTHS,GCRESPON
2,99,1,85,1,1929,1,1,1949,1,1,1,0,3,1,2,2,1,2,2,1,2,1,1,4,3,1,0,0,0,1,1,1,5,1,27300,36900,0,0,0,0,2,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2,99,2,66,1,1948,1,1,1965,1,1,1,0,3,1,2,2,2,1,2,1,2,2,1,8,1,2,2,6,35,2,4,3,5,3,46000,91900,21000,0,0,0,1,1,11,0,0,0,0,0,0,0,0,0,10,1,1,15,647,704,1,0,0
2,99,1,79,1,1935,1,1,1959,1,1,1,0,3,1,2,1,1,1,2,1,2,2,1,6,3,1,0,0,0,1,1,1,5,1,1400,9000,0,0,0,1,2,2,20,1,1,1,1,2,1,1,1,1,0,0,0,0,0,0,1,0,0
2,99,1,68,6,1946,0,0,0,0,0,1,0,3,1,2,1,1,1,2,1,2,1,1,10,1,2,1,6,30,2,4,3,5,3,290000,290000,0,240000,0,1,1,2,20,1,1,1,2,1,1,1,1,1,10,1,1,30,405,434,1,0,0
3,99,2,70,5,1944,1,1,1967,1,1,1,0,3,1,2,2,2,2,2,1,2,1,1,6,3,1,0,0,0,1,1,1,5,1,25500,37950,0,0,0,0,1,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2,99,1,68,1,1946,3,1,1994,1,1,1,0,3,1,2,2,2,1,2,1,2,1,1,10,3,1,2,0,0,1,1,1,5,2,47000,92500,0,0,0,0,1,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,99,2,73,3,1941,2,1,2000,1,1,2,0,3,1,2,1,1,1,2,1,2,1,1,6,3,1,0,0,0,1,1,1,5,1,7000,7000,0,0,0,0,1,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,99,2,65,4,1949,3,1,2000,1,1,1,0,3,1,2,1,1,1,2,1,2,1,1,6,3,1,2,0,0,1,1,1,5,2,5000,5000,0,0,0,0,1,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,16,1,68,1,1946,2,1,2001,1,1,1,0,3,1,2,2,2,1,2,1,2,1,1,11,1,2,2,6,40,2,4,3,5,3,149660,184110,113000,0,0,0,1,1,11,0,0,0,0,0,0,0,0,0,10,1,1,45,115,149,1,0,0
2,99,2,65,1,1949,2,1,2003,1,1,1,0,3,1,2,2,2,1,1,1,1,1,1,10,1,2,2,6,40,2,1,1,2,3,108000,148000,79000,29000,0,0,1,1,11,0,0,0,0,0,0,0,0,0,10,1,1,60,902,1004,1,0,0
1,99,2,78,6,1936,0,0,0,0,0,1,0,3,1,2,2,2,1,2,1,2,1,1,11,1,2,2,6,1,2,4,3,5,3,47500,47500,9000,0,0,0,1,1,11,0,0,0,0,0,0,0,0,0,10,1,1,45,145,219,1,0,0
1,99,2,82,5,1932,1,1,1952,1,1,1,0,3,1,2,2,1,1,2,1,2,1,1,6,3,1,0,0,0,1,1,1,5,1,30600,30600,0,0,0,0,1,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2,99,1,71,1,1943,1,1,1964,1,1,1,0,3,1,2,2,1,2,2,1,2,1,1,6,3,1,1,0,0,3,4,3,5,2,22000,29000,0,0,0,1,1,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2,99,2,65,1,1949,1,1,1989,1,1,6,0,3,1,2,2,1,1,2,2,2,1,1,6,3,1,0,0,0,3,4,3,5,1,2600,14600,0,0,0,0,1,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,99,2,68,5,1946,1,1,1987,1,1,2,0,3,1,2,2,1,2,2,1,2,1,1,8,3,1,0,0,0,1,1,3,5,1,20000,20000,0,0,0,0,1,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2,99,1,74,6,1940,0,0,0,0,0,1,0,3,1,2,2,1,2,2,1,2,1,1,6,3,1,0,0,0,1,1,1,5,1,12300,12300,0,0,0,1,1,2,20,1,1,1,2,1,1,1,1,1,0,0,0,0,0,0,1,0,0
3,54,2,78,1,1936,1,1,1955,1,1,1,0,3,1,2,1,1,1,2,1,2,1,1,6,3,1,0,0,0,1,1,1,5,1,5000,75000,0,0,0,0,1,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2,99,2,66,4,1948,2,1,2003,1,1,1,0,3,1,2,2,2,1,2,1,2,1,1,11,3,1,2,2,6,1,1,1,5,3,8400,8400,1200,0,0,0,1,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,2
2,99,1,86,1,1928,2,1,2010,1,1,1,0,3,1,2,2,2,2,2,1,2,1,1,10,3,1,0,0,0,1,1,1,5,1,29380,63380,0,0,0,0,1,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,99,1,71,6,1943,0,0,0,0,0,1,0,3,1,2,1,1,1,2,2,2,1,1,7,3,1,0,0,0,3,4,3,5,1,39510,39510,0,0,0,1,1,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2,99,2,77,1,1937,1,1,1958,1,1,1,0,3,1,2,2,1,2,2,1,2,1,1,6,1,2,1,2,8,2,4,3,5,3,14400,36100,0,2500,0,0,1,1,11,0,0,0,0,0,0,0,0,0,10,1,1,10,802,814,1,0,0
2,99,1,76,1,1938,1,1,1961,1,1,1,0,3,1,2,2,1,2,2,1,2,1,1,6,3,1,0,0,0,1,1,1,5,1,33200,64100,0,0,0,1,1,2,20,1,1,1,1,2,1,1,1,1,0,0,0,0,0,0,1,0,0
